baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000001 854.445160661732 -1.46249232680199 0.108954662237389 -13.42294397293 4.43729237642509e-41 4.23289332775266e-40 1.00923337345644e-42 -1.45433957938039
AAEL000005 560.868415780379 -2.46683466611938 0.173657620373891 -14.205162208305 8.51053686489242e-46 9.46913278994712e-45 5.05037107660637e-47 -2.44827093926271
AAEL000013 421.892992506199 -1.16213905353846 0.152700826773289 -7.61056163280545 2.72907387559826e-14 8.70728236794762e-14 6.70032330356162e-16 -1.14625667345456
AAEL000017 132.410008946257 -1.37674923758844 0.308123490623326 -4.46817357158753 7.88902831314377e-06 1.5294442820302e-05 2.95832111249395e-07 -1.31066832192728
AAEL000026 142.701115386087 -1.54495501802998 0.244570788959169 -6.31700549605664 2.66680102062553e-10 6.84829578083001e-10 9.6307402364799e-12 -1.50316424285913
AAEL000033 444.235210469376 -1.95518598279276 0.146406526565496 -13.3545001623824 1.11504078391872e-40 1.04494518793118e-39 4.19151898117234e-42 -1.94088058612998
AAEL000046 470.097888989691 -1.63868927422445 0.134521609913237 -12.1816061767426 3.89534076656171e-34 2.83949229553001e-33 1.1518981121836e-35 -1.62572578742454
AAEL000053 298.821829646995 -4.31749532076947 0.305826987015941 -14.1174438622855 2.96554246544357e-45 3.23199236282849e-44 2.77260579404929e-46 -4.27761089797473
AAEL000065 306.347740066844 -1.92845999857762 0.169926234392066 -11.3488067659296 7.51816662666991e-30 4.68268912691161e-29 1.80604096566342e-31 -1.90902259602601
AAEL000081 1999.4254078134 -1.80686286041901 0.118718777749392 -15.2196888703924 2.61772987782799e-52 3.61607178044433e-51 6.16678146135561e-54 -1.79721079159091
AAEL000107 394.490633972963 -1.98282999653561 0.18851177803486 -10.5183348075415 7.11193655986469e-26 3.81432916547695e-25 3.09402381317462e-27 -1.95903519953133
AAEL000115 430.042325689738 -2.51531308299997 0.175485762632889 -14.3334310730491 1.35269045844607e-46 1.54725032905808e-45 6.70599935026414e-48 -2.49660364954445
AAEL000116 315.859648962092 -1.85333764942504 0.183059909351955 -10.1242137395675 4.31432168627899e-24 2.16405668517904e-23 1.30023378176193e-25 -1.83043903722092
AAEL000122 224.252962105837 -2.07465750001702 0.276107685793584 -7.51394331546433 5.73724340363587e-14 1.79494176935326e-13 3.22709643832022e-15 -2.02416148250733
AAEL000140 404.168050259801 -1.20842868220505 0.138231921716171 -8.74203778115956 2.28942894781038e-18 8.90664999753695e-18 4.58813535060136e-20 -1.19526340156606
AAEL000143 452.256822877376 -1.12604342319816 0.203023556174354 -5.54636833487013 2.91664072470153e-08 6.66108711133085e-08 7.42186805994269e-10 -1.09824897346059
AAEL000147 229.952864198502 -1.1539883647824 0.192232252543529 -6.00309443141491 1.93591947123275e-09 4.73874368168352e-09 4.46647357115064e-11 -1.12878407849934
AAEL000148 152.258680050728 -1.24367864753502 0.231514461260796 -5.37192640477885 7.78999038172297e-08 1.73317019236334e-07 2.19039708623723e-09 -1.20683481410031
AAEL000149 590.670628263722 -1.54443270412718 0.138379297494525 -11.1608653323904 6.33717132137926e-29 3.81508311866014e-28 1.29572046664004e-30 -1.53103207027237
AAEL000154 579.859609598148 -2.34063322243124 0.17129507322674 -13.6643347548764 1.65812156230733e-42 1.66615351404593e-41 5.80808530575246e-44 -2.32216336184846
