baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000408 142.558416251257 -1.23360681902475 0.277061425397707 -4.45246687536518 8.48893390699253e-06 3.10264556178107e-05 6.82232868887477e-07 -1.17866637499097
AAEL000411 124.509703082203 -1.80128021723415 0.2905377162668 -6.19981543318817 5.65294132354972e-10 3.59697018012863e-09 6.16069441278687e-11 -1.74157179665403
AAEL000416 557.700447939022 -1.68105346606075 0.202636222411085 -8.295917906772 1.07749928201807e-16 1.35390620309997e-15 9.34330061105088e-18 -1.65156143795588
AAEL000422 407.295373393663 -1.81628230675225 0.206111936534842 -8.81211606318211 1.22805381636947e-18 1.89151979432288e-17 1.14929688281848e-19 -1.78625910805472
AAEL000428 819.169034535362 -2.67738968295624 0.401037868638676 -6.67615178597633 2.45297916523794e-11 1.84274463785056e-10 4.44115919693876e-12 -2.58014191782559
AAEL000436 477.61882418722 -1.61631067092761 0.208366694933024 -7.75704904014124 8.69283223722964e-15 9.19914347657892e-14 6.18420960238867e-16 -1.58501302600673
AAEL000442 2525.88197474632 -4.10580471059826 0.342698185868468 -11.9808183407604 4.47880568804934e-33 2.00990614655056e-31 5.99925803292872e-34 -4.05216117054232
AAEL000476 41.4739871294761 -1.6179036930668 0.428532579876736 -3.7754508502765 0.000159718516320893 0.000470871802746974 2.06366626249141e-05 -1.48545841258396
AAEL000496 12.3553550081078 -3.04861333700409 0.805168559367714 -3.78630449678527 0.000152904291595521 0.000452234521500428 4.58280412754909e-05 -2.67602458553259
AAEL000500 312.97093445227 -3.46794166183499 0.381156215125611 -9.0984785875579 9.1606018307831e-20 1.55991589235461e-18 2.00401682678034e-20 -3.39343045050633
AAEL000509 391.393641647003 -1.8510159872334 0.183973089300149 -10.0613410052244 8.187539409687e-24 2.02349188267979e-22 5.49927762490088e-25 -1.82714274296362
AAEL000516 1713.42258284376 -1.24475326971246 0.181046007506869 -6.87534227820649 6.18411941644416e-12 4.95767854090624e-11 2.84567873276521e-13 -1.22104866431749
AAEL000549 1682.4552134367 -1.11091384530312 0.197991423361063 -5.61091903095833 2.01254919675712e-08 1.08410648744087e-07 1.00591820368378e-09 -1.08319777426841
AAEL000550 228.238925672765 -1.20936132879711 0.224363169536987 -5.39019541974218 7.0381107057571e-08 3.51375690065339e-07 4.31104186587747e-09 -1.17330864757466
AAEL000585 15.6445745145516 -5.45806153018743 1.31802705629979 -4.1410845885898 3.4566744581114e-05 0.000114745058416229 7.66737918563275e-06 -4.82978937807011
AAEL000645 108.956833520165 -1.85696083840678 0.325181662415959 -5.71053368941646 1.12622439586088e-08 6.24418978791983e-08 1.19487728378951e-09 -1.78251362762558
AAEL000659 164.788733872928 -1.94191896670269 0.304289981047261 -6.38180383073829 1.75014069373524e-10 1.18499316285408e-09 2.2675138388824e-11 -1.87756654509627
AAEL000661 57.2834577889066 -2.28341358487927 0.375935010661192 -6.07395831759117 1.24795133868758e-09 7.66690433860715e-09 1.54944766942641e-10 -2.19083668638856
AAEL000672 350.924880129864 -1.53902720639301 0.236547455136235 -6.50620910508902 7.70709274579592e-11 5.46315713221888e-10 5.77394032655261e-12 -1.49845790354725
AAEL000674 288.311566342454 -1.11290439225122 0.224311757162908 -4.96141801182079 6.99804081936949e-07 3.02884747138555e-06 4.22652414813545e-08 -1.0775340655746
AAEL000697 69.6492853071293 -2.53025401141401 0.394923994765623 -6.40693917044887 1.48470019142015e-10 1.01680242025142e-09 2.84038752005122e-11 -2.43268836813002
AAEL000698 78.5848650977619 -2.25868716217547 0.45199794503489 -4.99711821035186 5.81933989045492e-07 2.54265960001319e-06 1.13814359081793e-07 -2.12261542200672
AAEL000699 117.658805061116 -1.45302848027445 0.273758377438086 -5.30770416552118 1.11014627101505e-07 5.36510770733063e-07 9.67806582055477e-09 -1.39862713287197
AAEL000708 195.101346141497 -1.11573323745512 0.239306453536536 -4.66236167460805 3.12601193016192e-06 1.22144695287538e-05 1.96652502990343e-07 -1.07553904404735
AAEL000739 707.328304690648 -3.28655702051353 0.386456803393438 -8.50433215731902 1.82643921541029e-17 2.51757562521393e-16 3.99415259616025e-18 -3.20656549022026
AAEL000747 305.484478669575 -1.45033433240266 0.242252327061422 -5.986874718586 2.1391141979021e-09 1.28637814510617e-08 1.33229620153921e-10 -1.40765001127788
AAEL000753 184.151122636155 -1.39270790567109 0.228511629543085 -6.09469158508846 1.09648642443392e-09 6.77121492419438e-09 7.35068414322e-11 -1.35473553213845
AAEL000769 68.3842499229392 -2.47683393145853 0.621113062401344 -3.98773441003254 6.6707281213701e-05 0.000210212464584992 1.83360517872628e-05 -2.22440167540632
AAEL000776 559.795215324338 -3.86210009021526 0.330017046797493 -11.7027290792804 1.23419323132354e-31 5.01107639534323e-30 2.5143516010905e-32 -3.81096643484491
AAEL000800 701.70697074083 -3.18200453147914 0.393182365953203 -8.09294822712842 5.82376229914755e-16 6.78889165673089e-15 1.16253032975759e-16 -3.09740383192694
AAEL000805 114.180074925806 -1.65773183804847 0.251435029785729 -6.59308227441966 4.30787681647053e-11 3.13555643647614e-10 3.42941019269894e-12 -1.61244579739975
AAEL000836 180.240210967717 -1.15056310012097 0.296232998714772 -3.88398019502475 0.000102760281732805 0.000313000633591349 7.53627994160272e-06 -1.08870706019076
AAEL000839 115.157661903521 -1.60961403483937 0.270679557372532 -5.9465666726508 2.73825031667195e-09 1.62538508354615e-08 2.22559125320643e-10 -1.5568933753286
AAEL000842 82.8019852732898 -3.16668165113621 0.544803314203166 -5.81252273725212 6.15383220910339e-09 3.50636253365476e-08 1.57950516532796e-09 -3.00166836012581
AAEL000844 280.819150231167 -1.07496009456519 0.228125871882342 -4.71213582964238 2.4513389132706e-06 9.70857087183514e-06 1.44804110417271e-07 -1.0387278874978
AAEL000845 1169.00623217979 -2.40683058569053 0.302336100815487 -7.96077801889561 1.70960855986353e-15 1.91800727247095e-14 2.19824026109307e-16 -2.34819538135556
AAEL000853 120.16483389921 -1.36265560431039 0.252934401288603 -5.38738739122944 7.14892378794416e-08 3.56163202239939e-07 5.07185080820317e-09 -1.31646143992647
AAEL000885 123.903855195496 -2.62539021177811 0.293545450405568 -8.94372645922743 3.7626316822518e-19 6.06953167446482e-18 5.70042936959774e-20 -2.57306082410433
AAEL000889 37.6425320877862 -2.37379240894681 0.44184304268847 -5.37247886603139 7.76615342479309e-08 3.84188037429569e-07 1.41920149130757e-08 -2.2480734446175
AAEL000898 942.671045031774 -2.15250942869238 0.406066529844336 -5.30087872427589 1.15246628401547e-07 5.55389181763935e-07 2.02308328903769e-08 -2.03741649545316
AAEL000904 298.384474592464 -1.54768451646307 0.27487709934128 -5.63046001348227 1.79729607550247e-08 9.72103455064476e-08 1.36805966277853e-09 -1.49297478472372
AAEL000905 566.270796218618 -1.82889527973097 0.248358799330795 -7.36392382576719 1.78581624073655e-13 1.67063389229406e-12 1.59922510452108e-14 -1.78533874252527
AAEL000918 245.530871173363 -1.36478993116211 0.265530847114476 -5.13985454418303 2.74951228854775e-07 1.26137310485759e-06 2.2036228454163e-08 -1.31367604265391
AAEL000923 1860.7357412713 -3.95306748165405 0.343047038001408 -11.5233977960708 1.00565544420719e-30 3.8599707516081e-29 1.76544165740393e-31 -3.89775082273004
AAEL000924 314.451549022884 -1.32279473739775 0.192116897628569 -6.88536382653435 5.76400284960804e-12 4.63332673506876e-11 2.89385738874024e-13 -1.29606197629971
AAEL000940 850.844915637117 -1.67348811956587 0.201008158534017 -8.32547361147367 8.39922451221833e-17 1.06547867165091e-15 7.58616355511961e-18 -1.64447984246495
AAEL000948 1082.37918921818 -1.29657903560843 0.335209577748274 -3.8679653616046 0.000109747249526924 0.00033300785907547 9.17791474649813e-06 -1.21568244781336
AAEL000950 1536.73573348999 -1.04737598126233 0.14595570095577 -7.17598541477817 7.17882079949639e-13 6.31492880498072e-12 3.48838353719526e-14 -1.03256667630394
AAEL000952 181.476694282354 -1.34102560157766 0.255256762316831 -5.25363398566165 1.49127097789817e-07 7.08086780555707e-07 1.1519795847816e-08 -1.29388705951172
AAEL000961 1583.28936205392 -3.74208453658551 0.408330263334019 -9.164357562017 4.98429690602087e-20 8.76252609236689e-19 1.32500795551041e-20 -3.66068212231709
AAEL000978 575.169738994571 -1.80071253287108 0.215527938414113 -8.35489146382131 6.54929027354158e-17 8.44264341201575e-16 6.54487076953462e-18 -1.76787209351787
AAEL000980 94.0558160615742 -2.82352879909013 0.425121784250116 -6.64169398910157 3.1009826718791e-11 2.30344929397765e-10 6.21216069918551e-12 -2.71696931543298
AAEL000984 430.097196899409 -1.44516444867352 0.218869316570007 -6.60286453725582 4.03288026674895e-11 2.95159360785912e-10 2.58136391741339e-12 -1.41027678196362
AAEL001009 481.892257060555 -2.49656423110876 0.226013854891024 -11.0460672081918 2.29029869097754e-28 7.53148635652862e-27 2.20517319590759e-29 -2.46465618606109
AAEL001029 362.375966232647 -1.33821454724209 0.23218051482349 -5.7636815400269 8.22986390683258e-09 4.61003685855751e-08 4.90619595360096e-10 -1.29911494196038
AAEL001033 275.876366338477 -1.09136645067099 0.264084035708613 -4.13264833575622 3.58607182919964e-05 0.000118809157438679 2.38942807235917e-06 -1.04269549383967
AAEL001037 799.080034572448 -1.5462983204181 0.166927097834496 -9.26331518655651 1.98181299431632e-20 3.63393267483162e-19 1.10316464915178e-21 -1.52607881996911
AAEL001074 64.2658400038564 -2.70827791063931 0.403106094754997 -6.71852384738904 1.83574703442833e-11 1.40379963805067e-10 2.88160412915951e-12 -2.6107527479654
AAEL001080 164.653552476945 -1.32991233287947 0.282221678274424 -4.71229687602632 2.44940186579547e-06 9.70411884235e-06 1.94675142431046e-07 -1.27235246756594
AAEL001086 102.484173659315 -1.89729264715421 0.322511905012549 -5.88286081123233 4.03235022823763e-09 2.34457694468936e-08 4.19305130859371e-10 -1.82457745677802
