baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000001 629.913243836336 -1.49067322303413 0.132245339892247 -11.2720283697613 1.80366200641331e-29 1.81023116336461e-28 5.48660159151388e-31 -1.47834612835766
AAEL000005 352.469070465143 -2.21541825611787 0.202856956922777 -10.9210859204658 9.13964505179773e-28 8.43802918256286e-27 5.65303474497996e-29 -2.18884515908165
AAEL000016 531.653871645754 -1.72039950627139 0.182709022719017 -9.41606211159671 4.6832328667964e-21 2.9831487346488e-20 2.16395419421147e-22 -1.69721697414812
AAEL000026 109.649437564527 -1.66583799550543 0.316989104327661 -5.25519007676524 1.4787167052214e-07 3.78670968795687e-07 9.07216870598763e-09 -1.59580682719838
AAEL000033 295.499404138266 -1.79117241035834 0.214062813197969 -8.36750850649539 5.88492762919721e-17 2.94851156631241e-16 2.84483218865632e-18 -1.75964350645307
AAEL000046 259.506755553467 -1.09002813308828 0.202822969816003 -5.37428346541385 7.68878186908417e-08 2.01084471885743e-07 2.32969215971862e-09 -1.06245019968834
AAEL000053 218.600301621158 -4.32639964651265 0.320839842566533 -13.4846084323691 1.92685740713508e-41 3.35506105670938e-40 2.79525652365303e-42 -4.28249856972793
AAEL000065 193.391432340479 -1.66126865001006 0.236674944827986 -7.01919948145529 2.2314300842772e-12 8.2876084817749e-12 1.15917307001263e-13 -1.62226999396784
AAEL000076 205.582886208252 -1.05658475563308 0.186544813877983 -5.66397282062305 1.47907844787072e-08 4.1160918562479e-08 4.17628018698747e-10 -1.03346139782556
AAEL000079 1877.97844219783 -1.38655976287509 0.380622467346247 -3.64287419117001 0.000269610631134473 0.000514929088482835 1.48768950348719e-05 -1.29026069259131
AAEL000081 1424.95034430957 -1.76828164582878 0.151443719877692 -11.6761635758608 1.68740868183399e-31 1.88123064651958e-30 7.69250867122913e-33 -1.75250596806209
AAEL000107 239.697136230232 -1.64496325676335 0.215082966031903 -7.64804060085054 2.04064789768936e-14 8.71831909373452e-14 8.37035152641504e-16 -1.61274225612004
AAEL000115 257.518927274765 -2.18182335564051 0.242307241847158 -9.00436709612152 2.16913313806561e-19 1.25323298350591e-18 1.57845533938797e-20 -2.1434593537189
AAEL000116 200.458231388495 -1.59265629046122 0.19583771253272 -8.13253111397085 4.20418239925847e-16 1.99000060093355e-15 1.96602027720282e-17 -1.5658543313275
AAEL000118 456.404042616392 -1.03456747624945 0.151650686723296 -6.82204280510207 8.97549114070616e-12 3.18425204868713e-11 1.62515515726234e-13 -1.03010267432678
AAEL000122 133.014292395866 -1.69689337149574 0.307487486682823 -5.51857699902471 3.41755722440514e-08 9.22114844115784e-08 2.04491539854015e-09 -1.63111965141708
AAEL000140 350.273320192993 -1.55817149624869 0.171169092847968 -9.1031124271521 8.77794825025175e-20 5.17772322104194e-19 3.41294071130952e-21 -1.53758873567824
AAEL000147 166.140355933415 -1.16962854621268 0.256865958933573 -4.55345874193921 5.27710249356926e-06 1.17955477355817e-05 1.9641156629835e-07 -1.12476412989059
AAEL000148 102.941924097653 -1.09350505396325 0.271861121542809 -4.02229288159196 5.76343284765713e-05 0.000117455425686337 1.89972531396116e-06 -1.04442311864946
AAEL000149 360.926599859346 -1.20962160986117 0.218303214997649 -5.54101601240364 3.00721715205893e-08 8.14170965815869e-08 1.13064114944274e-09 -1.17678555554831
AAEL000154 321.896946608741 -1.85858281283078 0.211278540974659 -8.79683665107147 1.40726929744533e-18 7.73906534248027e-18 7.69008663679311e-20 -1.82813452849677
AAEL000157 386.364976491329 -2.47179799786707 0.183069870220784 -13.5019377841152 1.52316461339526e-41 2.66312201922735e-40 1.0239701151667e-42 -2.45122187309097
AAEL000172 3586.51440394332 -1.27961892373128 0.14072243404807 -9.093211984197 9.61555289669778e-20 5.65599761106919e-19 2.78068644231213e-21 -1.26576122144119
AAEL000174 73.1129508478054 -2.22511240121953 0.301575449756845 -7.3782942312234 1.60330340986028e-13 6.46832400489782e-13 1.05454135378471e-14 -2.16654428171119
AAEL000181 1232.44096020293 -1.25844009257964 0.137967560423901 -9.12127523827428 7.42454756812573e-20 4.39577603799915e-19 2.03505218715148e-21 -1.24523027800216
AAEL000187 89.0165738852089 -1.92550602468643 0.27394623484295 -7.02877345910704 2.08356945266737e-12 7.76118906318295e-12 1.45264390127754e-13 -1.87479662407226
AAEL000193 907.267145173094 -3.05472934830917 0.174965381484776 -17.4590500268475 2.93782276242661e-68 1.65510405940087e-66 2.1075955311928e-69 -3.03798611476887
AAEL000199 768.135166060596 -1.02956100336759 0.125441174008275 -8.20752046931316 2.25802975518261e-16 1.09205590143818e-15 5.13636236731103e-18 -1.01911821164222
AAEL000201 197.934662945017 -1.71062464793836 0.224449464463515 -7.62142450206838 2.5089136706556e-14 1.06649864819686e-13 1.0854864583323e-15 -1.6755833000479
AAEL000204 598.336689784135 -1.60299638948425 0.147664987823642 -10.8556294427676 1.87510420521444e-27 1.69535099181871e-26 6.23142783687642e-29 -1.58782235711435
AAEL000215 164.483191569071 -1.50609947332141 0.305282342505895 -4.9334640875678 8.07839009617328e-07 1.93759078257507e-06 4.50159061815559e-08 -1.44069237797814
AAEL000217 785.710087714164 -2.81957483722557 0.143501885052457 -19.6483470317819 5.9726407481792e-86 6.05673552991357e-84 6.316051830708e-87 -2.80784625650143
AAEL000241 284.376410165234 -1.07928764683303 0.171049456225899 -6.30979876023487 2.79398523876427e-10 8.88746722373297e-10 8.63357846307142e-12 -1.05968808325612
AAEL000255 55.4891683077966 -1.33634929531443 0.37738124630266 -3.54111209395571 0.000398444263025077 0.0007467001002522 2.15260242777784e-05 -1.23796790002932
AAEL000257 548.624030423449 -1.55480265964785 0.144306275981801 -10.7743246027909 4.55109865749797e-27 3.99790205006544e-26 1.74903435960473e-28 -1.5402229880621
AAEL000260 208.771319011477 -2.50924403829233 0.202669823551521 -12.3809454921366 3.31415295542046e-35 4.38062595025128e-34 2.10071896524018e-36 -2.48424787041524
AAEL000261 195.349235464795 -1.87995053032877 0.225656464365526 -8.33102891873533 8.014274958355e-17 3.98544328646952e-16 4.14568003698141e-18 -1.84523649501867
AAEL000263 380.414594647814 -2.55206626158686 0.187619108847928 -13.602379188654 3.8761581953214e-42 6.98921497637184e-41 4.33012265831757e-43 -2.5307424722414
AAEL000267 123.831887417908 -3.20531755675118 0.368123864067863 -8.707171334484 3.11551982272076e-18 1.6790956323473e-17 3.23740472530528e-19 -3.13320116831253
