baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000195 50.7666727093941 1.30824909244513 0.377038115743651 3.46980593690058 0.000520834532157991 0.000865276752963438 2.24066389150054e-05 1.21244716327567
AAEL000200 1348.05754739438 1.69588212709846 0.247319225276334 6.85705741316155 7.02933862091584e-12 1.97095247150948e-11 2.78535327993496e-13 1.65458335472249
AAEL000213 711.285551615548 2.27783625269201 0.16851719148107 13.5169369526782 1.24242038173047e-41 1.21163211569715e-40 6.30119493527535e-43 2.2602681586329
AAEL000216 9.93858403166622 5.78460418380537 1.3029015482203 4.43978610026741 9.00483323748103e-06 1.73887904691591e-05 9.17524276145295e-07 5.24142301257229
AAEL000227 627.248002444323 1.16442067707842 0.258669845516655 4.50157100744643 6.7453022198785e-06 1.31458206797919e-05 1.90965477982644e-07 1.12015546746471
AAEL000229 988.380360800391 1.94222128715122 0.22980993635934 8.45142432881701 2.87770312252335e-17 1.07019776713957e-16 1.09607515877391e-18 1.90773990746711
AAEL000234 905.54605604111 2.22596423286228 0.282646997591298 7.8754214685874 3.39596123851648e-15 1.1421590986041e-14 1.80832064369319e-16 2.17606040939916
AAEL000236 20.4387006019824 2.03245971360755 0.540061988106173 3.76338227531019 0.00016763065748491 0.000291881009668205 1.51576110274354e-05 1.83686793773952
AAEL000239 1771.32244959051 2.42013780675662 0.159217422546161 15.2002071636034 3.52504514314844e-52 4.83124608141028e-51 1.73827533470723e-53 2.40499746750515
AAEL000242 341.531524070381 1.37132918129915 0.291232477733977 4.70870966030023 2.49289862282554e-06 5.00255554103325e-06 8.85400235782661e-08 1.3135868252006
AAEL000249 755.321815925557 5.52684728082249 0.261343267848475 21.1478463796776 2.88829948262111e-99 1.37015106076743e-97 6.83317236580488e-100 5.50399432920891
AAEL000250 178.081246759516 3.29671629765482 0.320981371304239 10.2707402746126 9.54692436590284e-25 4.89299863125146e-24 5.06038082599345e-26 3.24461436071226
AAEL000251 614.88692625161 2.47933285741065 0.229511729261845 10.8026411782294 3.34442355952144e-27 1.89151570910272e-26 1.88379723884917e-28 2.44788711568765
AAEL000254 137.269264869113 2.53257733251896 0.263074241987367 9.62685405225108 6.15861033279436e-22 2.79581720560349e-21 3.84651739335748e-23 2.49137659171912
AAEL000256 526.366513250277 1.57100921849802 0.267546765147941 5.87190511396884 4.30815316360948e-09 1.03164716433998e-08 1.59407465543874e-10 1.52184073187726
AAEL000258 1606.3424565419 1.32566475875153 0.125278996618318 10.5817000018796 3.62323713618976e-26 1.97526945700786e-25 6.52356110405961e-28 1.31478128463479
AAEL000265 336.024347550744 1.93540423305194 0.154615121840533 12.5175610898401 5.98459300558404e-36 4.68620817628555e-35 3.14609060868154e-37 1.91966578737219
AAEL000266 17.3590496250891 3.23967190603275 0.71055010574049 4.5593855800733 5.13034998599331e-06 1.00754739214654e-05 7.29046751919267e-07 2.9685276428323
AAEL000268 37.7500050437447 3.05584090247445 0.509707412486756 5.99528440751066 2.03129619759154e-09 4.9642640100485e-09 1.79011242883828e-10 2.91530298857694
AAEL000270 1452.70043543439 1.03283413442961 0.0981924888258042 10.5184637519666 7.10221169828502e-26 3.81078338339809e-25 8.9787355626661e-28 1.0266585637905
AAEL000281 248.607013173441 1.73038732351836 0.232852558043595 7.43125752217161 1.07570049821255e-13 3.32126599334596e-13 4.28645760457571e-15 1.69364995035808
AAEL000288 781.782246390172 2.39386702729599 0.157157561041267 15.2322739767347 2.15947970383707e-52 2.98980453566311e-51 7.4523892096441e-54 2.37928473598036
AAEL000298 412.409629823753 3.27872673555331 0.180820639184166 18.1324806191727 1.76609376783048e-73 4.51257236419148e-72 1.95552343879397e-74 3.26210763563402
AAEL000304 1068.38850808059 1.53667467350915 0.113684757847776 13.5169806630258 1.2416825656135e-41 1.21163211569715e-40 2.28829820905494e-43 1.52785782471884
AAEL000308 55.2832906323673 3.448075398208 0.38818372644367 8.88258616557014 6.53236123479904e-19 2.59998598870587e-18 8.33965969581689e-20 3.37268036214598
AAEL000312 48.161210162393 2.78609835020939 0.571041777429571 4.87897463956218 1.06638773318071e-06 2.1968556583738e-06 1.14855118876258e-07 2.59584801740592
AAEL000314 845.275290351651 1.3683142936488 0.149204948136562 9.17070318872019 4.69943369358068e-20 1.97786688362221e-19 1.09855042469706e-21 1.35314587786008
AAEL000316 142.340747478965 1.58609714947551 0.424312959999462 3.73803607006847 0.000185463343453464 0.000321604684121132 1.02882568466944e-05 1.46251857899096
AAEL000320 22.462689388942 2.16362229685948 0.614614358859013 3.52029246579283 0.000431071189189635 0.00072222864948555 4.66095746136427e-05 1.91326025907677
AAEL000324 83.1746825989658 1.6103782151986 0.264879445167686 6.07966471003109 1.20434113424219e-09 2.98198080962778e-09 4.81752563275999e-11 1.56221986456561
AAEL000328 6681.60509863371 2.89691561631432 0.255537173131237 11.3365722130241 8.64652513214564e-30 5.3745465257659e-29 4.91896032139653e-31 2.8620977166652
