k3	k4	k5	s01_RUN	s02_RUN	s03_RUN	s12_RFE	s13_RFE	s14_RFE	s05_SNO	s06_SNO	s07_SNO	s08_SRO	s09_SRO	s10_SRO
AAEL000001	2	4	2	-1.5415974561046	-1.53899352710614	-1.57368291176233	0.249881669508078	-0.00174461920547547	-0.260238919238067	0.700472084142509	0.829153294414715	0.829567187711017	0.819042987220383	0.788115590042732	0.700024620377161
AAEL000004	2	4	2	-1.05769360847934	-1.00656811910738	-1.2379020119575	-0.624697106742139	-0.860222155614941	-0.213120726854886	1.24893088787199	-0.351240224825511	0.598849582502902	1.05444437431797	1.16525703264369	1.28396207624512
AAEL000005	2	4	2	-1.79055473749727	-1.70205577326343	-1.3519108955971	0.24664155624326	0.599469546595742	0.156833956171562	0.351328265335971	0.540674771671142	0.634392084685824	0.776598088210101	0.670482609514624	0.868100527929564
AAEL000006	3	3	3	0.0232183065266083	-0.372632109367943	2.37428458925406	-1.44942152427134	-0.796880790526183	-1.02664601028851	0.212574718258904	0.62211335947077	0.924749244033686	0.0201584255709396	-0.218331483884296	-0.313186724776695
AAEL000008	3	3	3	-0.745330258201603	-0.0903578938533517	-0.901126213614742	-0.357474551189203	-1.58649875125837	-1.12952906086351	0.240580280577863	0.296334498227092	0.275502875850618	1.44883577174132	1.01558593504539	1.53347736753848
AAEL000010	1	1	5	-0.194323407126509	0.400694059425327	0.478068751832852	1.45186887771445	1.94865790437025	-1.23503573857304	-0.757552349304511	0.689809473160952	-0.364026840489257	-0.734814149596868	-0.799182656505853	-0.884163924907801
AAEL000011	1	1	1	-0.646121889150405	1.97212891428089	-0.646121889150405	1.40734007320182	-0.646121889150405	0.0373947036514349	-0.646121889150405	-0.500550134507073	-0.497571897785425	-0.646121889150405	1.45798967606078	-0.646121889150405
AAEL000012	1	2	1	1.1850670640587	0.336408210862978	0.843960591018426	0.835618752510723	-0.0788558916532952	1.13995629463568	0.739399224723438	-1.28653313852516	-0.0223634323098731	-1.28653313852516	-1.28653313852516	-1.1195913982713
AAEL000013	2	4	2	-1.20554917135466	-1.6889341714189	-1.05561844895889	-0.551038033611729	0.178680221998276	-0.247764469000254	-0.340264754790254	0.657417038580894	0.849859504836774	1.10961415827936	0.986975289043154	1.30662283639622
AAEL000016	2	4	2	-1.5024741484811	-1.4674864562413	-1.33641783995043	0.492072169451101	0.933857312756766	0.40159977579888	0.663245402262796	1.27848757092863	1.14033019119392	-0.11126771138949	-0.14755701448662	-0.344389251843155
AAEL000017	1	1	5	0.374884817670321	0.0905267521661366	0.15727573021258	1.31321219753675	-0.103477862165731	0.371263333974511	-1.37849973192974	-2.09362884133862	-0.977467269671894	0.810601691733861	0.834580620094392	0.600728561717428
AAEL000018	1	2	4	-0.354439743291272	3.08793959188302	0.456457841029694	-0.354439743291272	-0.354439743291272	-0.354439743291272	-0.354439743291272	-0.354439743291272	-0.354439743291272	-0.354439743291272	-0.354439743291272	-0.354439743291272
AAEL000020	1	2	1	0.634525781494412	1.62949533428895	0.884436502191764	0.680823790730386	1.04091705913278	-0.00218308347310876	-0.979442721166039	-1.52865458304883	-1.28925841050489	0.0671034986904348	-0.531302219202596	-0.606460949133286
AAEL000021	1	2	4	1.6513509746358	1.39869318207301	1.11774253723929	0.249303099234552	-0.791404852365651	0.405636027159954	-0.55257568920015	-1.23348024279783	-1.22936873891789	-0.901368877911699	-0.226304654968533	0.111777235819139
AAEL000022	1	2	1	1.13390833825437	1.22492196484157	1.11094484602018	0.119063885091733	0.946924731097691	0.83855999611692	-0.625385910528853	-0.689872758659498	-0.516712843227608	-1.34332852234275	-1.03174103383145	-1.16728269283234
AAEL000024	1	2	4	1.55289447201829	1.56704033256169	1.39059383561598	-1.52714864785577	-0.70977236068497	-0.394396562672412	-0.24486259776275	-0.719026214532496	-0.69708886641903	0.0463762794067786	-0.364247197690092	0.099637528014798
AAEL000025	1	1	1	-0.266985727949247	-0.0737678066357412	1.29074494688136	0.486926843841773	1.46264328641498	1.2263377751625	0.350695859131625	-0.181305980761806	-1.07168535301412	-0.591893334872603	-0.955806520556747	-1.67590398764198
AAEL000026	2	4	2	-1.55631821886064	-1.1134094915977	-1.79686147113103	-0.202419006335717	0.67184114749123	-0.132849133634667	0.104012778162349	1.08835140526507	1.04261493946909	0.865860041507581	0.377112572622893	0.652064437041543
