baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000270 869.881758348442 1.44015976939807 0.171796754824165 8.38292766864005 5.16272040470811e-17 6.73523425912577e-16 3.2570220982031e-18 1.41932539925778
AAEL000281 181.445998165265 1.0976877788832 0.262648219091429 4.17930790728525 2.92397578973169e-05 9.80986481226171e-05 1.90687425497398e-06 1.05066934768161
AAEL000288 562.165456069598 1.66299379893333 0.188399888582957 8.82693621233792 1.07582116625645e-18 1.6656390741379e-17 8.01664332016092e-20 1.63817109315911
AAEL000298 310.455201251679 1.86065209883885 0.182383909083397 10.2018435079601 1.9454421753081e-24 5.03747142009821e-23 1.07767007182821e-25 1.83796188640581
AAEL000308 38.7315558854734 2.46680771962506 0.509798851424551 4.83878634236221 1.3063438632216e-06 5.39205625701116e-06 2.64043125417056e-07 2.3037073540588
AAEL000312 34.2831584419865 1.95604658665392 0.546234296734711 3.58096625998552 0.000342325863229758 0.000949029016583086 6.69659667980531e-05 1.74965564768583
AAEL000316 72.0055858007778 4.84174639447258 0.61597189913503 7.86033648819293 3.8310291733554e-15 4.17253606225762e-14 6.89266675753856e-16 4.6964360727641
AAEL000324 58.0153430043737 1.24039861652997 0.339427768022453 3.65438167818939 0.000257802518270487 0.000731144846898266 2.21799740389683e-05 1.15980381950944
AAEL000328 4362.26751006095 2.84579133348542 0.280084112264318 10.16048825647 2.97582427430421e-24 7.6392288951332e-23 3.27484459364645e-25 2.80179543429559
AAEL000336 221.765893602622 2.20560796317279 0.267349839227746 8.24989448111809 1.58534444812361e-16 1.95903278232417e-15 1.88414175026227e-17 2.15947801950691
AAEL000341 79.6450108766034 1.31898061685272 0.309510477982404 4.261505540784 2.03054318831307e-05 6.97915175320849e-05 1.70036266095357e-06 1.25116851875597
AAEL000348 175.527129784209 1.71901353240561 0.254834215853358 6.74561509194983 1.52380089750335e-11 1.17655959336983e-10 1.22229933252167e-12 1.67363894233274
AAEL000354 1874.90238611715 5.28365121620489 0.343308922359714 15.3903696411035 1.89944090593256e-53 2.38669748359125e-51 3.46082743784776e-54 5.24149212412325
AAEL000372 378.805604730999 1.07800460787552 0.191081471097983 5.64159675807991 1.68480314786566e-08 9.16658850322351e-08 7.61745342752144e-10 1.05311204411062
AAEL000378 1629.3512548362 1.21203845657902 0.159039928774288 7.62096956355633 2.51777312633994e-14 2.56658051316138e-13 1.10693916431749e-15 1.19469708331018
AAEL000387 92.2682829178326 5.06608057040279 0.583738989070302 8.67867431379107 4.00408497559221e-18 5.90812884470262e-17 1.08812946391035e-18 4.93874365870439
AAEL000405 718.081743192358 1.5368076601193 0.220748673961797 6.9617979240286 3.35957180734782e-12 2.76192897137128e-11 2.09655029784698e-13 1.50244160033294
AAEL000418 351.379452371428 1.6693938339732 0.172296374774134 9.68908275732225 3.35528361492513e-22 7.05141206185939e-21 2.7797193642576e-23 1.64866688939466
AAEL000419 573.638117368654 3.45488007663168 0.284505226237708 12.1434678804286 6.21356183676704e-34 2.89731592365188e-32 7.79336351785969e-35 3.414779701723
AAEL000431 1146.53448389853 1.15618108917028 0.209404902583761 5.52127039484099 3.36557393695884e-08 1.75512695873647e-07 1.79604536029683e-09 1.12605280156891
AAEL000438 132.682219270058 1.44016923466065 0.356861995293043 4.03564754346573 5.44519076948999e-05 0.000175152902763142 5.44876368603442e-06 1.34971568973191
AAEL000445 3182.50012371274 2.90480181894335 0.280602226445759 10.352026980459 4.09718093263424e-25 1.1090260497246e-23 4.36966261347469e-26 2.86114453078886
AAEL000450 632.781341559502 1.78794092386922 0.242472032418722 7.37380268575327 1.65828570145055e-13 1.55498479326121e-12 1.27815157347777e-14 1.74723828603906
AAEL000454 11332.6274397592 3.16888613924818 0.186510337305398 16.9904048484956 9.67192977835152e-65 1.86215848006745e-62 1.07133779301843e-65 3.15087497605915
AAEL000455 136.498761872903 1.04900415162442 0.237838087205057 4.41058101312426 1.03093626362398e-05 3.71903480776048e-05 6.62896715229242e-07 1.01048490987353
AAEL000457 420.607398153477 1.64189959459357 0.263097836784119 6.24064270030776 4.35776632830141e-10 2.81028118808067e-09 4.13466709513927e-11 1.59343015913401
AAEL000458 1477.66580858316 1.79831802544135 0.236122914168842 7.61602503412882 2.61606971357737e-14 2.65996798730606e-13 1.92329815337955e-15 1.75718965694081
AAEL000464 423.755930681277 1.52534929792505 0.292006292662154 5.22368639394306 1.75395735786681e-07 8.26242659070882e-07 1.63179895802311e-08 1.46497089073294
