baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000182 4619.68568126258 1.66284788189238 0.264701651408792 6.28197018432786 3.34308972751856e-10 1.05810250651749e-09 1.69972256044257e-11 1.61548680534376
AAEL000200 914.995934100965 2.02195733780428 0.318075623162687 6.35684469529469 2.05940012682264e-10 6.6038340520121e-10 1.49626793467798e-11 1.95614106327508
AAEL000211 806.6131297926 1.42894027889439 0.196064374074756 7.2881179237058 3.14314809680739e-13 1.24158757479372e-12 1.10549277667041e-14 1.40273383776299
AAEL000213 514.086003503168 2.30652395334014 0.198881428377995 11.5974828426732 4.24377341585153e-31 4.59778391618239e-30 3.08180147033278e-32 2.28210482991995
AAEL000224 15.998539944363 3.21566167119531 0.809113700817509 3.97430134719791 7.05861475594695e-05 0.000142771662113266 1.20889870826588e-05 2.85807690437748
AAEL000234 632.023246209539 2.57869908809913 0.291568998587268 8.84421560794749 9.21734863600845e-19 5.12677100965525e-18 8.44379830491779e-20 2.52868864518202
AAEL000239 1219.26598686754 3.04526280765038 0.238199371509418 12.7845123534676 2.00114022046035e-37 2.92240246941883e-36 1.3877594498797e-38 3.01508097349015
AAEL000242 227.155670861973 1.90969901840635 0.252183644197089 7.57265216182642 3.65680496147931e-14 1.53896612522283e-13 2.02911471677283e-15 1.86758181907949
AAEL000244 271.535435774268 1.35047217639223 0.181046420400508 7.45925919664549 8.70102917553877e-14 3.56132534159281e-13 2.93215783839572e-15 1.32810874628177
AAEL000249 587.444224575911 3.40895507861964 0.261805203379027 13.0209599909454 9.29943625264232e-39 1.43405905034664e-37 8.3502960913806e-40 3.37511564811166
AAEL000250 128.36017110012 3.45090078391772 0.327431259404925 10.539313778988 5.69126516424136e-26 4.70903898315427e-25 4.66586610760931e-27 3.39814327775277
AAEL000251 421.75318164059 3.18365087908353 0.284858803652451 11.176241837229 5.32995959569057e-29 5.21316109837759e-28 5.23447639049364e-30 3.14166128978661
AAEL000252 71.7506432261551 3.08516811408517 0.485855695005645 6.34996799625726 2.15359726394955e-10 6.90414742484181e-10 2.61054369210147e-11 2.95807533471158
AAEL000254 97.0509380805037 2.807477636934 0.309630086524627 9.06719908406158 1.22115660231171e-19 7.14323077568213e-19 1.08775699998217e-20 2.75364465992767
AAEL000256 319.030289501632 3.15919160707785 0.332272160279977 9.50784322230269 1.94656355729361e-21 1.26927158705009e-20 2.07951478432785e-22 3.10175672891967
AAEL000265 284.088320854321 1.08240778880309 0.181538385352694 5.96241828801212 2.48531943402717e-09 7.34185717681856e-09 7.85615167277752e-11 1.06088714543215
AAEL000266 12.1761804555258 3.97470395913829 0.945189120791107 4.20519435921091 2.60857890277076e-05 5.48091267553824e-05 4.17558259950815e-06 3.5570116264861
AAEL000268 27.2868706352904 3.16836457937519 0.607945185562662 5.21159580603113 1.87223112366877e-07 4.74268619576846e-07 2.61451401851197e-08 2.97011252676897
AAEL000270 988.030450614301 1.34302319391113 0.128902745009723 10.4188874628684 2.03317529923121e-25 1.64470517505136e-24 4.82301703318319e-27 1.33145804680801
AAEL000281 177.006898051848 1.80307602386779 0.266943155298465 6.75453177232359 1.43297264868571e-11 5.01500864018225e-11 9.13665808059341e-13 1.75512543053547
AAEL000288 555.097831011959 2.59894504046027 0.224492827767756 11.5769624638028 5.39230280310631e-31 5.82221723442722e-30 4.37976679734269e-32 2.56958566831509
AAEL000298 321.363032735692 2.44740015834378 0.185345534412729 13.2045272420424 8.26167624748069e-40 1.33256093904542e-38 4.70961414945452e-41 2.42678008534115
